timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	mem_shmem_kb	mem_anonpages_kb	mem_sreclaimable_kb	mem_kernelstack_kb	mem_pagetables_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	containerd_main_pss_kb	shim_urunc_pss_sum_kb	qemu_pss_sum_kb	cgv2_containerd_current_bytes	cgv2_shim_current_bytes_sum	cgv2_qemu_current_bytes_sum	cgv2_runtime_current_bytes_sum	cgv2_runtime_anon_bytes_sum	cgv2_runtime_file_bytes_sum	cgv2_runtime_slab_bytes_sum	cgv2_runtime_shmem_bytes_sum	system_pss_all_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source
snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note																																		
2026-04-16T22:21:16+00:00	after_start_160_of_200	seq200_noview	default	devmapper	262726528	232320324	159226352	68652992	6728308	3302388	1162008	20816032	4170792	182704	197948	89300	907380	16545920	158412	573968	14764044										118112911360	2016324111	dm:containerd-pool	0.2594	0.1870	2228224000	2570059776	dmsetup
175	160	1.046533		v2																																		
2026-04-16T22:21:32+00:00	after_start_170_of_200	seq200_noview	default	devmapper	262726528	230971056	157804920	68740652	6759980	3355772	1233972	21930464	4173924	190848	206328	87644	962216	17578720	157352	609741	15687106										118112911360	2142399326	dm:containerd-pool	0.2692	0.1881	2312110080	2585788416	dmsetup
185	170	1.046755		v2																																		
2026-04-16T22:21:48+00:00	after_start_180_of_200	seq200_noview	default	devmapper	262726528	229873228	156631608	68831184	6789652	3409160	1305768	23015804	4177064	197360	212968	89108	1018492	18608524	160528	644103	16610712										118112911360	2268481041	dm:containerd-pool	0.2789	0.1893	2395996160	2601517056	dmsetup
195	180	1.202474		v2																																		
2026-04-16T22:22:04+00:00	after_start_190_of_200	seq200_noview	default	devmapper	262726528	228372716	155055400	68922348	6818644	3462540	1377648	24285328	4180308	205664	223796	93716	1077888	19650500	164644	680715	17531908										118112911360	2394569256	dm:containerd-pool	0.2891	0.1904	2483552256	2617245696	dmsetup
205	190	1.059177		v2																																		
2026-04-16T22:22:20+00:00	after_start_200_of_200	seq200_noview	default	devmapper	262726528	226986244	153592168	69013704	6851008	3515952	1449612	25457100	4184048	213696	233052	95252	1138752	20683912	172604	716357	18455028										118112911360	2520663971	dm:containerd-pool	0.2987	0.1916	2565865472	2632974336	dmsetup
215	200	1.184438		v2																																		
2026-04-16T22:22:31+00:00	after_start_200_of_200_settle_5s	seq200_noview	default	devmapper	262726528	227379448	153966328	69021500	6855040	3523740	1449612	25422192	4185828	214544	230384	96788	1140300	20679584	177128	715353	18455020										118112911360	2520663971	dm:containerd-pool	0.3021	0.1916	2594701312	2632974336	dmsetup
215	200		266.054920	v2																																		
2026-04-16T22:22:51+00:00	after_start_200_of_200_settle_20s	seq200_noview	default	devmapper	262726528	227819284	154403484	69025528	6857092	3523740	1449612	25388008	4186032	215936	229424	86868	1141836	20679564	163700	713453	18454964										118112911360	2520663971	dm:containerd-pool	0.3021	0.1916	2594701312	2632974336	dmsetup
215	200		266.054920	v2																																		
2026-04-16T22:23:36+00:00	after_start_200_of_200_settle_60s	seq200_noview	default	devmapper	262726528	227904156	154479384	69034132	6861584	3523740	1449612	25434452	4186324	221440	230560	88404	1144892	20679572	165040	712901	18454956										118112911360	2520663971	dm:containerd-pool	0.3021	0.1916	2594701312	2632974336	dmsetup
215	200		266.054920	v2																																		
2026-04-16T22:25:03+00:00	after_cleanup_sequential_200	seq200_noview	default	devmapper	262726528	250956760	178818104	67393688	6401380	2456356	12020	3565424	4170368	66256	88780	55784	3128	3108	94296	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	916979712	2317352960	dmsetup
15	0		266.054920	v2																																		
2026-04-16T22:25:09+00:00	after_cleanup_sequential_200_settle_5s	seq200_noview	default	devmapper	262726528	251251444	179113240	67393564	6389496	2456352	12016	3559188	4170320	66240	88652	55784	3132	3132	94296	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	916979712	2317352960	dmsetup
15	0			v2																																		
2026-04-16T22:25:25+00:00	after_cleanup_sequential_200_settle_20s	seq200_noview	default	devmapper	262726528	252285684	180149136	67391836	6389368	2456352	12016	2905944	4170228	66240	69092	55780	3152	3132	91012	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	916979712	2317352960	dmsetup
15	0			v2																																		
2026-04-16T22:26:05+00:00	after_cleanup_sequential_200_settle_60s	seq200_noview	default	devmapper	262726528	252657472	180511788	67401216	6388344	2456352	12016	2909692	4170112	66016	69112	55780	3100	3132	91101	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	916979712	2317352960	dmsetup
15	0			v2																																		
